date;prix;rendements
19/08/2015;6,212;-0,017088608
20/08/2015;5,884;-0,05280103
21/08/2015;5,573;-0,052855201
24/08/2015;5,405;-0,030145344
25/08/2015;5,755;0,064754857
26/08/2015;5,624;-0,022762815
27/08/2015;5,797;0,030761024
28/08/2015;5,718;-0,013627738
31/08/2015;5,66;-0,010143407
01/09/2015;5,548;-0,019787986
02/09/2015;5,526;-0,003965393
03/09/2015;5,732;0,037278321
04/09/2015;5,581;-0,026343336
07/09/2015;5,568;-0,002329332
08/09/2015;5,597;0,005208333
09/09/2015;5,604;0,00125067
10/09/2015;5,526;-0,01391863
11/09/2015;5,448;-0,014115092
14/09/2015;5,375;-0,013399413
15/09/2015;5,41;0,006511628
16/09/2015;5,369;-0,007578558
17/09/2015;5,453;0,015645372
18/09/2015;5,258;-0,035760132
21/09/2015;5,275;0,003233169
22/09/2015;5,06;-0,040758294
23/09/2015;4,989;-0,014031621
24/09/2015;5,052;0,012627781
25/09/2015;5,228;0,034837688
28/09/2015;5,046;-0,034812548
29/09/2015;4,819;-0,044986128
30/09/2015;4,939;0,024901432
01/10/2015;4,906;-0,006681514
02/10/2015;4,955;0,00998777
05/10/2015;5,108;0,030877901
06/10/2015;5,312;0,039937353
07/10/2015;5,542;0,043298193
08/10/2015;5,61;0,012269939
09/10/2015;5,674;0,0114082
12/10/2015;5,547;-0,022382799
13/10/2015;5,459;-0,015864431
14/10/2015;5,409;-0,009159187
15/10/2015;5,419;0,001848771
16/10/2015;5,52;0,018638125
19/10/2015;5,509;-0,001992754
20/10/2015;5,397;-0,020330368
21/10/2015;5,386;-0,002038169
22/10/2015;5,469;0,015410323
23/10/2015;5,638;0,030901445
26/10/2015;5,607;-0,005498404
27/10/2015;5,579;-0,004993758
28/10/2015;5,601;0,003943359
29/10/2015;5,508;-0,016604178
30/10/2015;5,58;0,013071895
02/11/2015;5,53;-0,008960573
03/11/2015;5,476;-0,009764919
04/11/2015;5,509;0,006026297
05/11/2015;5,793;0,051552006
06/11/2015;5,937;0,024857587
09/11/2015;5,812;-0,021054405
10/11/2015;5,764;-0,008258775
11/11/2015;5,861;0,016828591
12/11/2015;5,704;-0,026787238
13/11/2015;5,664;-0,007012623
16/11/2015;5,605;-0,010416667
17/11/2015;5,699;0,01677074
18/11/2015;5,686;-0,002281102
19/11/2015;5,764;0,013717904
20/11/2015;5,6;-0,028452464
23/11/2015;5,616;0,002857143
24/11/2015;5,569;-0,008368946
25/11/2015;5,581;0,002154785
26/11/2015;5,719;0,024726751
27/11/2015;5,662;-0,009966777
30/11/2015;5,74;0,013776051
01/12/2015;5,755;0,00261324
02/12/2015;5,631;-0,021546481
03/12/2015;5,606;-0,004439709
04/12/2015;5,448;-0,028184088
07/12/2015;5,453;0,000917768
08/12/2015;5,21;-0,044562626
09/12/2015;5,21;0
10/12/2015;5,088;-0,023416507
11/12/2015;5,002;-0,016902516
14/12/2015;4,828;-0,034786086
15/12/2015;5,034;0,042667771
16/12/2015;5,048;0,002781089
17/12/2015;5,253;0,040610143
18/12/2015;5,166;-0,016561965
21/12/2015;5,04;-0,024390244
22/12/2015;5,133;0,018452381
23/12/2015;5,257;0,024157413
24/12/2015;5,291;0,006467567
28/12/2015;5,24;-0,00963901
29/12/2015;5,265;0,004770992
30/12/2015;5,204;-0,011585945
